ID,Suburb,WaterView,FloodingZone,LogDistance,LogLand,LogFloor,LogValue2022,,,Leg.Desc,Full Address,Lat,Long,Distance to Coast,Land Area,Floor Area,Value 2022,,,,,
94,Southshore,0,1,4.557239652,6.230481448,4.304065093,13.27870544,,,Lot 1 DP 21048,144 ROCKING HORSE RD,-43.5509944,172.7477914,95.32,508,74,"$584,613.04",,,,,
95,New Brighton,0,0,7.11446859,6.383506635,4.787491743,12.43857973,,,Lot 1 DP 21186,163 BAKER ST,-43.5050934,172.7158209,1229.63,592,120,"$252,351.88",,,,,
96,South New Brighton,0,0,5.230306156,6.753437919,4.624972813,13.55210222,,,Lot 1 DP 21545,208 A ESTUARY RD,-43.5289284,172.7345367,186.85,857,102,"$768,428.06",,,,,
97,Southshore,0,1,4.801148069,6.408528791,4.820281566,13.45156606,,,Lot 1 DP 21691,90 ROCKING HORSE RD,-43.5465138,172.7455182,121.65,607,124,"$694,929.77",,,,,
98,Southshore,1,0,4.703566508,6.587550015,4.787491743,13.50638442,,,Lot 1 DP 21831,165 E ROCKING HORSE RD,-43.5521803,172.7505466,110.34,726,120,"$734,088.17",,,,,
99,New Brighton,0,0,5.786099517,6.618738984,5.099866428,13.56084568,,,Lot 1 DP 22146,42 PINE AV,-43.5204107,172.7331148,325.74,749,164,"$775,176.23",,,,,
100,South New Brighton,0,0,5.185820335,6.280395839,4.605170186,13.39933343,,,Lot 1 DP 22214,510 MARINE PD,-43.5346712,172.7412753,178.72,534,100,"$659,563.43",,,,,
101,South New Brighton,0,0,5.423759882,6.52649486,4.955827058,13.32726743,,,Lot 1 DP 22334,27 CRADOCK ST,-43.5255733,172.7320562,226.73,683,142,"$613,703.65",,,,,
102,New Brighton,0,1,6.151348759,6.476972363,4.477336814,13.52311469,,,Lot 1 DP 22880,21 KIBBLEWHITE ST,-43.5206548,172.7291507,469.35,650,88,"$746,472.97",,,,,
103,North New Brighton,0,0,7.244798781,6.246106765,4.634728988,13.44139546,,,Lot 1 DP 23290,225 BEACH RD,-43.4866091,172.7070434,1400.8,516,103,"$687,897.73",,,,,
104,Southshore,0,1,4.774406503,6.257667588,4.941642423,13.30402325,,,Lot 1 DP 23326,105 ROCKING HORSE RD,-43.5474536,172.746384,118.44,522,140,"$599,603.12",,,,,
105,Southshore,0,1,4.749703337,6.361302478,5.225746674,13.8799989,,,Lot 1 DP 23327,109 ROCKING HORSE RD,-43.5477681,172.7465336,115.55,579,186,"$1,066,613.14",,,,,
106,North New Brighton,0,0,6.100565558,6.261491684,4.49980967,13.08043362,,,Lot 1 DP 23769,67 FLEMING ST,-43.4931036,172.7210698,446.11,524,90,"$479,468.57",,,,,
107,New Brighton,0,0,5.906505608,6.827629235,4.890349128,13.25338769,,,Lot 1 DP 24083,36 A TOVEY ST,-43.5167727,172.7311626,367.42,923,133,"$569,997.75",,,,,
